JD : 2459166.51153929 ; Az : 4.826 ; El : 43.364 ; Rn :    0.0
JD : 2459166.51165503 ; Az : 4.826 ; El : 43.462 ; Rn :    0.0
JD : 2459166.51177077 ; Az : 4.825 ; El : 43.560 ; Rn :    0.0
JD : 2459166.51188651 ; Az : 4.825 ; El : 43.659 ; Rn :    0.0
JD : 2459166.51200225 ; Az : 4.825 ; El : 43.757 ; Rn :    0.0
JD : 2459166.51211799 ; Az : 4.825 ; El : 43.856 ; Rn :    0.0
JD : 2459166.51223373 ; Az : 4.824 ; El : 43.954 ; Rn :    0.0
JD : 2459166.51234947 ; Az : 4.824 ; El : 44.053 ; Rn :    0.0
JD : 2459166.51246521 ; Az : 4.824 ; El : 44.151 ; Rn :    0.0
JD : 2459166.51258095 ; Az : 4.824 ; El : 44.250 ; Rn :    0.0
JD : 2459166.51269669 ; Az : 4.824 ; El : 44.348 ; Rn :    0.0
JD : 2459166.51281244 ; Az : 4.823 ; El : 44.447 ; Rn :    0.0
JD : 2459166.51292818 ; Az : 4.823 ; El : 44.545 ; Rn :    0.0
JD : 2459166.51304392 ; Az : 4.823 ; El : 44.644 ; Rn :    0.0
JD : 2459166.51315966 ; Az : 4.823 ; El : 44.743 ; Rn :    0.0
JD : 2459166.51327540 ; Az : 4.823 ; El : 44.842 ; Rn :    0.0
JD : 2459166.51339114 ; Az : 4.823 ; El : 44.940 ; Rn :    0.0
JD : 2459166.51350688 ; Az : 4.823 ; El : 45.039 ; Rn :    0.0
JD : 2459166.51362262 ; Az : 4.823 ; El : 45.138 ; Rn :    0.0
JD : 2459166.51373836 ; Az : 4.824 ; El : 45.237 ; Rn :    0.0
JD : 2459166.51385410 ; Az : 4.824 ; El : 45.336 ; Rn :    0.0
JD : 2459166.51396984 ; Az : 4.824 ; El : 45.435 ; Rn :    0.0
JD : 2459166.51408558 ; Az : 4.824 ; El : 45.534 ; Rn :    0.0
JD : 2459166.51420132 ; Az : 4.824 ; El : 45.633 ; Rn :    0.0
JD : 2459166.51431706 ; Az : 4.825 ; El : 45.732 ; Rn :    0.0
JD : 2459166.51443280 ; Az : 4.825 ; El : 45.831 ; Rn :    0.0
JD : 2459166.51454854 ; Az : 4.825 ; El : 45.930 ; Rn :    0.0
JD : 2459166.51466428 ; Az : 4.826 ; El : 46.029 ; Rn :    0.0
JD : 2459166.51478002 ; Az : 4.826 ; El : 46.128 ; Rn :    0.0
JD : 2459166.51489577 ; Az : 4.826 ; El : 46.227 ; Rn :    0.0
