jd,ra,dec,un_az,el
2459171.66679385,-139.346781069168,-45.4606882017391,4.35460743904908,1.02279213733366
2459171.66690959,-139.280453218543,-45.5561118019857,4.3515823491295,1.02340841403562
2459171.66702533,-139.213914405841,-45.6515040599653,4.34855258236339,1.02402205878574
2459171.66714107,-139.147163289214,-45.7468647077367,4.34551814703778,1.0246330649821
2459171.66725681,-139.080198516887,-45.8421934755985,4.3424790516258,1.02524142603713
2459171.66737255,-139.013018727083,-45.9374900920624,4.33943530478783,1.0258471353779
2459171.66748829,-138.945622547921,-46.0327542838475,4.33638691537205,1.02645018644663
2459171.66760403,-138.878008597343,-46.1279857758531,4.33333389241549,1.02705057270096
2459171.66771977,-138.810175483017,-46.2231842911411,4.33027624514491,1.02764828761436
2459171.66783551,-138.742121802253,-46.318349550924,4.32721398297743,1.02824332467655
2459171.66795126,-138.673846141912,-46.4134812745383,4.3241471155216,1.02883567739382
2459171.668067,-138.605347078315,-46.5085791794312,4.32107565257797,1.02942533928946
2459171.66818274,-138.536623177154,-46.6036429811385,4.31799960414008,1.03001230390413
2459171.66829848,-138.467672993399,-46.6986723932658,4.31491898039513,1.03059656479624
2459171.66841422,-138.398495071205,-46.7936671274704,4.31183379172471,1.03117811554238
2459171.66852996,-138.32908794382,-46.8886268934387,4.30874404870568,1.03175694973766
2459171.6686457,-138.25945013349,-46.9835513988688,4.30564976211078,1.03233306099613
2459171.66876144,-138.189580151365,-47.07844034945,4.30255094290935,1.03290644295121
2459171.66887718,-138.119476497397,-47.1732934488427,4.29944760226808,1.03347708925605
2459171.66899292,-138.049137660258,-47.2681103986519,4.29633975155175,1.03404499358388
2459171.66910866,-137.978562117226,-47.3628908984156,4.29322740232377,1.03461014962853
2459171.6692244,-137.907748334094,-47.4576346455788,4.29011056634682,1.03517255110476
2459171.66934014,-137.836694765075,-47.552341335469,4.28698925558372,1.03573219174865
2459171.66945588,-137.765399852693,-47.6470106612822,4.28386348219768,1.03628906531804
2459171.66957162,-137.693862027691,-47.741642314053,4.28073325855326,1.03684316559298
2459171.66968736,-137.622079708922,-47.8362359826395,4.27759859721664,1.03739448637604
2459171.6698031,-137.550051303251,-47.9307913536954,4.27445951095643,1.03794302149278
2459171.66991884,-137.47777520545,-48.0253081116488,4.27131601274409,1.03848876479216
2459171.67003459,-137.405249798093,-48.1197859386834,4.2681681157544,1.03903171014696
2459171.67015033,-137.332473451452,-48.2142245147094,4.26501583336611,1.03957185145419
2459171.67026607,-137.259444523393,-48.3086235173426,4.26185917916232,1.04010918263547
2459171.67038181,-137.186161359264,-48.4029826218812,4.25869816693102,1.0406436976375
2459171.67049755,-137.112622291788,-48.497301501283,4.25553281066539,1.04117539043247
2459171.67061329,-137.038825641646,-48.5915798258165,4.25236312456444,1.04170425501846
2459171.67072903,-136.964769714623,-48.6858172643205,4.24918912303331,1.04223028541983
2459171.67084477,-136.8904528056,-48.7800134822611,4.24601082068349,1.04275347568777
2459171.67096051,-136.815873195715,-48.8741681429801,4.24282823233352,1.04327381990056
2459171.67107625,-136.74102915293,-48.9682809073545,4.23964137300905,1.0437913121641
2459171.67119199,-136.665918931915,-49.0623514337694,4.23645025794334,1.04430594661229
2459171.67130773,-136.590540773939,-49.1563793780937,4.23325490257736,1.04481771740751
2459171.67142347,-136.514892906753,-49.2503643936507,4.23005532256028,1.04532661874096
2459171.67153921,-136.438973544474,-49.3443061311931,4.22685153374965,1.04583264483316
2459171.67165495,-136.362780887466,-49.4382042388785,4.22364355221151,1.04633578993436
2459171.67177069,-136.286313122224,-49.5320583622391,4.22043139422072,1.04683604832496
2459171.67188643,-136.209568421257,-49.6258681441541,4.2172150762612,1.04733341431592
