jd,ra,dec,un_az,el
2459166.66883074,10.7784640965068,-36.9835991842147,2.26577852229916,0.20794921455942
2459166.66894648,10.8330100564262,-36.9034126878194,2.26490057872916,0.206830665528093
2459166.66906222,10.8874360999959,-36.8232216146685,2.26402206607286,0.205712835782946
2459166.66917796,10.9417428486219,-36.74302607011,2.26314298497479,0.204595724653327
2459166.6692937,10.9959309200537,-36.6628261583715,2.26226333607835,0.203479331467662
2459166.66940944,11.050000929292,-36.5826219837653,2.26138312002604,0.202363655553923
2459166.66952518,11.1039534872681,-36.502413648923,2.26050233745932,0.201248696239437
2459166.66964092,11.1577892017717,-36.4222012559677,2.25962098901865,0.200134452850727
2459166.66975666,11.211508677242,-36.341984906239,2.25873907534352,0.199020924713735
2459166.6698724,11.2651125147864,-36.2617647003051,2.25785659707252,0.197908111153928
2459166.66998814,11.3186013122172,-36.1815407379453,2.25697355484318,0.196796011495875
2459166.67010388,11.3719756638372,-36.1013131178881,2.25608994929214,0.195684625063627
2459166.67021962,11.4252361613601,-36.0210819389704,2.25520578105511,0.194573951180654
2459166.67033536,11.478383392594,-35.9408472983991,2.25432105076684,0.193463989169681
2459166.6704511,11.5314179423508,-35.8606092929263,2.25343575906118,0.192354738352918
2459166.67056684,11.5843403922527,-35.7803680185549,2.25254990657106,0.191246198051841
2459166.67068258,11.6371513207462,-35.7001235705542,2.25166349392853,0.190138367587383
2459166.67079832,11.6898513029025,-35.619876043178,2.25077652176474,0.189031246279891
2459166.67091407,11.7424409113377,-35.5396255308013,2.24988899070991,0.187924833448923
2459166.67102981,11.7949207148831,-35.4593721262308,2.24900090139344,0.186819128413605
2459166.67114555,11.8472912795063,-35.3791159218458,2.2481122544439,0.18571413049242
2459166.67126129,11.8995531681112,-35.2988570093061,2.24722305048889,0.184609839003109
2459166.67137703,11.9517069405507,-35.2185954795796,2.24633329015526,0.183506253262963
2459166.67149277,12.0037531534297,-35.1383314226533,2.24544297406899,0.182403372588644
2459166.67160851,12.0556923610147,-35.0580649286638,2.24455210285522,0.18130119629616
2459166.67172425,12.1075251139202,-34.977796086217,2.24366067713827,0.180199723700923
2459166.67183999,12.159251960014,-34.8975249835244,2.24276869754167,0.179098954117833
2459166.67195573,12.210873444221,-34.8172517081185,2.24187616468814,0.177998886861118
2459166.67207147,12.2623901085393,-34.7369763468614,2.24098307919956,0.176899521244418
2459166.67218721,12.3138024918372,-34.6566989856793,2.24008944169709,0.175800856580871
2459166.67230295,12.3651111307608,-34.5764197106656,2.23919525280106,0.174702892182949
2459166.67241869,12.4163165584252,-34.4961386064304,2.23830051313106,0.173605627362573
2459166.67253443,12.4674193053183,-34.4158557572108,2.23740522330588,0.172509061431056
2459166.67265017,12.5184198990967,-34.3355712466043,2.23650938394361,0.1714131936992
2459166.67276591,12.5693188646066,-34.2552851575698,2.23561299566156,0.170318023477226
2459166.67288166,12.6201167239054,-34.1749975724298,2.23471605907628,0.169223550074709
2459166.6729974,12.6708139960526,-34.0947085726132,2.23381857480366,0.168129772800798
2459166.67311314,12.7214111980187,-34.0144182397338,2.23292054345878,0.167036690963878
2459166.67322888,12.7719088433742,-33.9341266539787,2.23202196565606,0.165944303871942
2459166.67334462,12.8223074431908,-33.8538338951948,2.23112284200923,0.16485261083243
2459166.67346036,12.8726075058462,-33.7735400426119,2.23022317313126,0.163761611152049
2459166.6735761,12.9228095370301,-33.693245174868,2.22932295963448,0.162671304137159
2459166.67369184,12.972914039554,-33.6129493697281,2.22842220213052,0.16158168909345
2459166.67380758,13.0229215142399,-33.5326527051687,2.22752090123031,0.160492765326039
2459166.67392332,13.0728324586204,-33.45235525778,2.22661905754417,0.159404532139665
2459166.67403906,13.1226473678422,-33.3720571038267,2.2257166716817,0.158316988838328
2459166.6741548,13.1723667344546,-33.2917583190021,2.2248137442519,0.157230134725627
2459166.67427054,13.2219910484326,-33.2114589784222,2.22391027586309,0.156143969104569
2459166.67438628,13.2715207969776,-33.1311591563636,2.22300626712292,0.155058491277549
2459166.67450202,13.3209564653978,-33.0508589273399,2.22210171863848,0.15397370054654
2459166.67461776,13.3702985358235,-32.9705583645085,2.22119663101623,0.152889596213016
2459166.6747335,13.4195474881006,-32.8902575407272,2.22029100486194,0.15180617757774
2459166.67484925,13.468703799578,-32.8099565283108,2.21938484078084,0.150723443941123
2459166.67496499,13.5177679451305,-32.7296553990268,2.21847813937756,0.149641394603052
2459166.67508073,13.5667403971803,-32.649354224089,2.21757090125606,0.148560028862693
2459166.67519647,13.6156216254846,-32.5690530739263,2.21666312701981,0.147479346018946
2459166.67531221,13.664412098026,-32.4887520192097,2.21575481727166,0.146399345370119
2459166.67542795,13.7131122797331,-32.4084511292906,2.21484597261384,0.145320026213856
2459166.67554369,13.7617226333522,-32.328150473267,2.21393659364809,0.144241387847489
2459166.67565943,13.8102436192547,-32.2478501197081,2.21302668097554,0.143163429567732
2459166.67577517,13.8586756954511,-32.1675501366666,2.21211623519677,0.142086150670788
2459166.67589091,13.9070193173872,-32.087250591432,2.21120525691185,0.141009550452469
2459166.67600665,13.95527493883,-32.0069515515424,2.21029374672026,0.139933628207892
2459166.67612239,14.0034430105813,-31.9266530832714,2.20938170522099,0.138858383231838
2459166.67623813,14.0515239813586,-31.8463552526459,2.20846913301248,0.137783814818565
2459166.67635387,14.0995182975982,-31.7660581251937,2.20755603069266,0.136709922261776
2459166.67646961,14.1474264034669,-31.6857617659475,2.20664239885893,0.135636704854657
2459166.67658535,14.1952487406588,-31.6054662392102,2.20572823810823,0.134564161890097
2459166.67670109,14.2429857492781,-31.5251716095429,2.20481354903694,0.133492292660246
2459166.67681684,14.29063786656,-31.444877940272,2.20389833224095,0.132421096456847
2459166.67693258,14.3382055277394,-31.3645852945094,2.20298258831576,0.131350572571337
2459166.67704832,14.3856891658641,-31.2842937348788,2.20206631785625,0.130280720294406
2459166.67716406,14.4330892117984,-31.2040033235418,2.20114952145691,0.129211538916388
2459166.6772798,14.4804060940257,-31.1237141219476,2.20023219971176,0.128143027727184
2459166.67739554,14.5276402395216,-31.0434261918222,2.19931435321429,0.127075186016091
2459166.67751128,14.5747920724782,-30.9631395936985,2.19839598255766,0.126008013072148
2459166.67762702,14.6218620151865,-30.882854387889,2.19747708833445,0.124941508183645
2459166.67774276,14.668850487822,-30.8025706342659,2.19655767113685,0.12387567063861
